,date_index,rsrp,rsrq,wbcqi
0,6532,-83,-2,15
1,6531,-83,-2,15
2,6530,-83,-2,15
3,6529,-83,-2,15
4,6528,-83,-2,15
5,6527,-83,-2,15
6,6526,-83,-2,15
7,6525,-83,-2,15
8,6524,-83,-2,15
9,6523,-83,-2,15
10,6522,-83,-2,15
11,6521,-83,-2,15
12,6520,-83,-2,15
13,6519,-83,-2,15
14,6518,-83,-2,15
15,6517,-83,-2,15
16,6516,-83,-2,15
17,6515,-83,-2,15
18,6514,-83,-2,15
19,6513,-83,-2,15
20,6512,-83,-2,15
21,6511,-83,-2,15
22,6510,-83,-2,15
23,6509,-83,-2,15
24,6508,-83,-2,15
25,6507,-83,-2,15
26,6506,-83,-2,15
27,6505,-83,-2,15
28,6504,-83,-2,15
29,6503,-83,-2,15
30,6502,-83,-2,15
31,6501,-83,-2,15
32,6500,-83,-2,15
33,6499,-83,-2,15
34,6498,-83,-2,15
35,6497,-83,-2,15
36,6496,-83,-2,15
37,6495,-83,-2,15
38,6494,-83,-2,15
39,6493,-83,-2,15
40,6492,-83,-2,15
41,6491,-83,-2,15
42,6490,-83,-2,15
43,6489,-83,-2,15
44,6488,-83,-2,15
45,6487,-83,-2,15
46,6486,-83,-2,15
47,6485,-83,-2,15
48,6484,-83,-2,15
49,6483,-83,-2,15
50,6482,-83,-2,15
51,6481,-83,-2,15
52,6480,-83,-2,15
53,6479,-83,-2,15
54,6478,-83,-2,15
55,6477,-83,-2,15
56,6476,-83,-2,15
57,6475,-83,-2,15
58,6474,-83,-2,15
59,6473,-83,-2,15
60,6472,-83,-2,15
61,6471,-83,-2,15
62,6470,-83,-2,15
63,6469,-83,-2,15
64,6468,-83,-2,15
65,6467,-83,-2,15
66,6466,-83,-2,15
67,6465,-83,-2,15
68,6464,-83,-2,15
69,6463,-83,-2,15
70,6462,-83,-2,15
71,6461,-83,-2,15
72,6460,-83,-2,15
73,6459,-83,-2,15
74,6458,-83,-2,15
75,6457,-83,-2,15
76,6456,-83,-2,15
77,6455,-83,-2,15
78,6454,-83,-2,15
79,6453,-83,-2,15
80,6452,-83,-2,15
81,6451,-83,-2,15
82,6450,-83,-2,15
83,6449,-83,-2,15
84,6448,-83,-2,15
85,6447,-83,-2,15
86,6446,-83,-2,15
87,6445,-83,-2,15
88,6444,-83,-2,15
89,6443,-83,-2,15
90,6442,-83,-2,15
91,6441,-83,-2,15
92,6440,-83,-2,15
93,6439,-83,-2,15
94,6438,-83,-2,15
95,6437,-83,-2,15
96,6436,-83,-2,15
97,6435,-83,-2,15
98,6434,-83,-2,15
99,6433,-83,-2,15
100,6432,-83,-2,15
101,6431,-83,-2,15
102,6430,-83,-2,15
103,6429,-83,-2,15
104,6428,-83,-2,15
105,6427,-83,-2,15
106,6426,-83,-2,15
107,6425,-83,-2,15
108,6424,-83,-2,15
109,6423,-83,-2,15
110,6422,-83,-2,15
111,6421,-83,-2,15
112,6420,-83,-2,15
113,6419,-83,-2,15
114,6418,-83,-2,15
115,6417,-83,-2,15
116,6416,-83,-2,15
117,6415,-83,-2,15
118,6414,-83,-2,15
119,6413,-83,-2,15
120,6412,-83,-2,15
121,6411,-83,-2,15
122,6410,-83,-2,15
123,6409,-83,-2,15
124,6408,-83,-2,15
125,6407,-83,-2,15
126,6406,-83,-2,15
127,6405,-83,-2,15
128,6404,-83,-2,15
129,6403,-83,-2,15
130,6402,-83,-2,15
131,6401,-83,-2,15
132,6400,-83,-2,15
133,6399,-83,-2,15
134,6398,-83,-2,15
135,6397,-83,-2,15
136,6396,-83,-2,15
137,6395,-83,-2,15
138,6394,-83,-2,15
139,6393,-83,-2,15
140,6392,-83,-2,15
141,6391,-83,-2,15
142,6390,-83,-2,15
143,6389,-83,-2,15
144,6388,-83,-2,15
145,6387,-83,-2,15
146,6386,-83,-2,15
147,6385,-83,-2,15
148,6384,-83,-2,15
149,6383,-83,-2,15
150,6382,-83,-2,15
151,6381,-83,-2,15
152,6380,-83,-2,15
153,6379,-83,-2,15
154,6378,-83,-2,15
155,6377,-83,-2,15
156,6376,-83,-2,15
157,6375,-83,-2,15
158,6374,-83,-2,15
159,6373,-83,-2,15
160,6372,-83,-2,15
161,6371,-83,-2,15
162,6370,-83,-2,15
163,6369,-83,-2,15
164,6368,-83,-2,15
165,6367,-83,-2,15
166,6366,-83,-2,15
167,6365,-83,-2,15
168,6364,-83,-2,15
169,6363,-83,-2,15
170,6362,-83,-2,15
171,6361,-83,-2,15
172,6360,-83,-2,15
173,6359,-83,-2,15
174,6358,-83,-2,15
175,6357,-83,-2,15
176,6356,-83,-2,15
177,6355,-83,-2,15
178,6354,-83,-2,15
179,6353,-83,-2,15
180,6352,-83,-2,15
181,6351,-83,-2,15
182,6350,-83,-2,15
183,6349,-83,-2,15
184,6348,-83,-2,15
185,6347,-83,-2,15
186,6346,-83,-2,15
187,6345,-83,-2,15
188,6344,-83,-2,15
189,6343,-83,-2,15
190,6342,-83,-2,15
191,6341,-83,-2,15
192,6340,-83,-2,15
193,6339,-83,-2,15
194,6338,-83,-2,15
195,6337,-83,-2,15
196,6336,-83,-2,15
197,6335,-83,-2,15
198,6334,-83,-2,15
199,6333,-83,-2,15
200,6332,-83,-2,15
201,6331,-83,-2,15
202,6330,-83,-2,15
203,6329,-83,-2,15
204,6328,-83,-2,15
205,6327,-83,-2,15
206,6326,-83,-2,15
207,6325,-83,-2,15
208,6324,-83,-2,15
209,6323,-83,-2,15
210,6322,-83,-2,15
211,6321,-83,-2,15
212,6320,-83,-2,15
213,6319,-83,-2,15
214,6318,-83,-2,15
215,6317,-83,-2,15
216,6316,-83,-2,15
217,6315,-83,-2,15
218,6314,-83,-2,15
219,6313,-83,-2,15
220,6312,-83,-2,15
221,6311,-83,-2,15
222,6310,-83,-2,15
223,6309,-83,-2,15
224,6308,-83,-2,15
225,6307,-83,-2,15
226,6306,-83,-2,15
227,6305,-83,-2,15
228,6304,-83,-2,15
229,6303,-83,-2,15
230,6302,-83,-2,15
231,6301,-83,-2,15
232,6300,-83,-2,15
233,6299,-83,-2,15
234,6298,-83,-2,15
235,6297,-83,-2,15
236,6296,-83,-2,15
237,6295,-83,-2,15
238,6294,-83,-2,15
239,6293,-83,-2,15
240,6292,-83,-2,15
241,6291,-83,-2,15
242,6290,-83,-2,15
243,6289,-83,-2,15
244,6288,-83,-2,15
245,6287,-83,-2,15
246,6286,-83,-2,15
247,6285,-83,-2,15
248,6284,-83,-2,15
249,6283,-83,-2,15
250,6282,-83,-2,15
251,6281,-83,-2,15
252,6280,-83,-2,15
253,6279,-83,-2,15
254,6278,-83,-2,15
255,6277,-83,-2,15
256,6276,-83,-2,15
257,6275,-83,-2,15
258,6274,-83,-2,15
259,6273,-83,-2,15
260,6272,-83,-2,15
261,6271,-83,-2,15
262,6270,-83,-2,15
263,6269,-83,-2,15
264,6268,-83,-2,15
265,6267,-83,-2,15
266,6266,-83,-2,15
267,6265,-83,-2,15
268,6264,-83,-2,15
269,6263,-83,-2,15
270,6262,-83,-2,15
271,6261,-83,-2,15
272,6260,-83,-2,15
273,6259,-83,-2,15
274,6258,-83,-2,15
275,6257,-83,-2,15
276,6256,-83,-2,15
277,6255,-83,-2,15
278,6254,-83,-2,15
279,6253,-83,-2,15
280,6252,-83,-2,15
281,6251,-83,-2,15
282,6250,-83,-2,15
283,6249,-83,-2,15
284,6248,-83,-2,15
285,6247,-83,-2,15
286,6246,-83,-2,15
287,6245,-83,-2,15
288,6244,-83,-2,15
289,6243,-83,-2,15
290,6242,-83,-2,15
291,6241,-83,-2,15
292,6240,-83,-2,15
293,6239,-83,-2,15
294,6238,-83,-2,15
295,6237,-83,-2,15
296,6236,-83,-2,15
297,6235,-83,-2,15
298,6234,-83,-2,15
299,6233,-83,-2,15
300,6232,-83,-2,15
301,6231,-83,-2,15
302,6230,-83,-2,15
303,6229,-83,-2,15
304,6228,-83,-2,15
305,6227,-83,-2,15
306,6226,-83,-2,15
307,6225,-83,-2,15
308,6224,-83,-2,15
309,6223,-83,-2,15
310,6222,-83,-2,15
311,6221,-83,-2,15
312,6220,-83,-2,15
313,6219,-83,-2,15
314,6218,-83,-2,15
315,6217,-83,-2,15
316,6216,-83,-2,15
317,6215,-83,-2,15
318,6214,-83,-2,15
319,6213,-83,-2,15
320,6212,-83,-2,15
321,6211,-83,-2,15
322,6210,-83,-2,15
323,6209,-83,-2,15
324,6208,-83,-2,15
325,6207,-83,-2,15
326,6206,-83,-2,15
327,6205,-83,-2,15
328,6204,-83,-2,15
329,6203,-83,-2,15
330,6202,-83,-2,15
331,6201,-83,-2,15
332,6200,-83,-2,15
333,6199,-83,-2,15
334,6198,-83,-2,15
335,6197,-83,-2,15
336,6196,-83,-2,15
337,6195,-83,-2,15
338,6194,-83,-2,15
339,6193,-83,-2,15
340,6192,-83,-2,15
341,6191,-83,-2,15
342,6190,-83,-2,15
343,6189,-83,-2,15
344,6188,-83,-2,15
345,6187,-83,-2,15
346,6186,-83,-2,15
347,6185,-83,-2,15
348,6184,-83,-2,15
349,6183,-83,-2,15
350,6182,-83,-2,15
351,6181,-83,-2,15
352,6180,-83,-2,15
353,6179,-83,-2,15
354,6178,-83,-2,15
355,6177,-83,-2,15
356,6176,-83,-2,15
357,6175,-83,-2,15
358,6174,-83,-2,15
359,6173,-83,-2,15
360,6172,-83,-2,15
361,6171,-83,-2,15
362,6170,-83,-2,15
363,6169,-83,-2,15
364,6168,-83,-2,15
365,6167,-83,-2,15
366,6166,-83,-2,15
367,6165,-83,-2,15
368,6164,-83,-2,15
369,6163,-83,-2,15
370,6162,-83,-2,15
371,6161,-83,-2,15
372,6160,-83,-2,15
373,6159,-83,-2,15
374,6158,-83,-2,15
375,6157,-83,-2,15
376,6156,-83,-2,15
377,6155,-83,-2,15
378,6154,-83,-2,15
379,6153,-83,-2,15
380,6152,-83,-2,15
381,6151,-83,-2,15
382,6150,-83,-2,15
383,6149,-83,-2,15
384,6148,-83,-2,15
385,6147,-83,-2,15
386,6146,-83,-2,15
387,6145,-83,-2,15
388,6144,-83,-2,15
389,6143,-83,-2,15
