,rsrp,rsrq,wbcqi,date_index
0,-83,-2,15,6532
1,-83,-2,15,6531
2,-83,-2,15,6530
3,-83,-2,15,6529
4,-83,-2,15,6528
5,-83,-2,15,6527
6,-83,-2,15,6526
7,-83,-2,15,6525
8,-83,-2,15,6524
9,-83,-2,15,6523
10,-83,-2,15,6522
11,-83,-2,15,6521
12,-83,-2,15,6520
13,-83,-2,15,6519
14,-83,-2,15,6518
15,-83,-2,15,6517
16,-83,-2,15,6516
17,-83,-2,15,6515
18,-83,-2,15,6514
19,-83,-2,15,6513
20,-83,-2,15,6512
21,-83,-2,15,6511
22,-83,-2,15,6510
23,-83,-2,15,6509
24,-83,-2,15,6508
25,-83,-2,15,6507
26,-83,-2,15,6506
27,-83,-2,15,6505
28,-83,-2,15,6504
29,-83,-2,15,6503
30,-83,-2,15,6502
31,-83,-2,15,6501
32,-83,-2,15,6500
33,-83,-2,15,6499
34,-83,-2,15,6498
35,-83,-2,15,6497
36,-83,-2,15,6496
37,-83,-2,15,6495
38,-83,-2,15,6494
39,-83,-2,15,6493
40,-83,-2,15,6492
41,-83,-2,15,6491
42,-83,-2,15,6490
43,-83,-2,15,6489
44,-83,-2,15,6488
45,-83,-2,15,6487
46,-83,-2,15,6486
47,-83,-2,15,6485
48,-83,-2,15,6484
49,-83,-2,15,6483
50,-83,-2,15,6482
51,-83,-2,15,6481
52,-83,-2,15,6480
53,-83,-2,15,6479
54,-83,-2,15,6478
55,-83,-2,15,6477
56,-83,-2,15,6476
57,-83,-2,15,6475
58,-83,-2,15,6474
59,-83,-2,15,6473
60,-83,-2,15,6472
61,-83,-2,15,6471
62,-83,-2,15,6470
63,-83,-2,15,6469
64,-83,-2,15,6468
65,-83,-2,15,6467
66,-83,-2,15,6466
67,-83,-2,15,6465
68,-83,-2,15,6464
69,-83,-2,15,6463
70,-83,-2,15,6462
71,-83,-2,15,6461
72,-83,-2,15,6460
73,-83,-2,15,6459
74,-83,-2,15,6458
75,-83,-2,15,6457
76,-83,-2,15,6456
77,-83,-2,15,6455
78,-83,-2,15,6454
79,-83,-2,15,6453
80,-83,-2,15,6452
81,-83,-2,15,6451
82,-83,-2,15,6450
83,-83,-2,15,6449
84,-83,-2,15,6448
85,-83,-2,15,6447
86,-83,-2,15,6446
87,-83,-2,15,6445
88,-83,-2,15,6444
89,-83,-2,15,6443
90,-83,-2,15,6442
91,-83,-2,15,6441
92,-83,-2,15,6440
93,-83,-2,15,6439
94,-83,-2,15,6438
95,-83,-2,15,6437
96,-83,-2,15,6436
97,-83,-2,15,6435
98,-83,-2,15,6434
99,-83,-2,15,6433
100,-83,-2,15,6432
101,-83,-2,15,6431
102,-83,-2,15,6430
103,-83,-2,15,6429
104,-83,-2,15,6428
105,-83,-2,15,6427
106,-83,-2,15,6426
107,-83,-2,15,6425
108,-83,-2,15,6424
109,-83,-2,15,6423
110,-83,-2,15,6422
111,-83,-2,15,6421
112,-83,-2,15,6420
113,-83,-2,15,6419
114,-83,-2,15,6418
115,-83,-2,15,6417
116,-83,-2,15,6416
117,-83,-2,15,6415
118,-83,-2,15,6414
119,-83,-2,15,6413
120,-83,-2,15,6412
121,-83,-2,15,6411
122,-83,-2,15,6410
123,-83,-2,15,6409
124,-83,-2,15,6408
125,-83,-2,15,6407
126,-83,-2,15,6406
127,-83,-2,15,6405
128,-83,-2,15,6404
129,-83,-2,15,6403
130,-83,-2,15,6402
131,-83,-2,15,6401
132,-83,-2,15,6400
133,-83,-2,15,6399
134,-83,-2,15,6398
135,-83,-2,15,6397
136,-83,-2,15,6396
137,-83,-2,15,6395
138,-83,-2,15,6394
139,-83,-2,15,6393
140,-83,-2,15,6392
141,-83,-2,15,6391
142,-83,-2,15,6390
143,-83,-2,15,6389
144,-83,-2,15,6388
145,-83,-2,15,6387
146,-83,-2,15,6386
147,-83,-2,15,6385
148,-83,-2,15,6384
149,-83,-2,15,6383
150,-83,-2,15,6382
151,-83,-2,15,6381
152,-83,-2,15,6380
153,-83,-2,15,6379
154,-83,-2,15,6378
155,-83,-2,15,6377
156,-83,-2,15,6376
157,-83,-2,15,6375
158,-83,-2,15,6374
159,-83,-2,15,6373
160,-83,-2,15,6372
161,-83,-2,15,6371
162,-83,-2,15,6370
163,-83,-2,15,6369
164,-83,-2,15,6368
165,-83,-2,15,6367
166,-83,-2,15,6366
167,-83,-2,15,6365
168,-83,-2,15,6364
169,-83,-2,15,6363
170,-83,-2,15,6362
171,-83,-2,15,6361
172,-83,-2,15,6360
173,-83,-2,15,6359
174,-83,-2,15,6358
175,-83,-2,15,6357
176,-83,-2,15,6356
177,-83,-2,15,6355
178,-83,-2,15,6354
179,-83,-2,15,6353
180,-83,-2,15,6352
181,-83,-2,15,6351
182,-83,-2,15,6350
183,-83,-2,15,6349
184,-83,-2,15,6348
185,-83,-2,15,6347
186,-83,-2,15,6346
187,-83,-2,15,6345
188,-83,-2,15,6344
189,-83,-2,15,6343
190,-83,-2,15,6342
191,-83,-2,15,6341
192,-83,-2,15,6340
193,-83,-2,15,6339
194,-83,-2,15,6338
195,-83,-2,15,6337
196,-83,-2,15,6336
197,-83,-2,15,6335
198,-83,-2,15,6334
199,-83,-2,15,6333
200,-83,-2,15,6332
201,-83,-2,15,6331
202,-83,-2,15,6330
203,-83,-2,15,6329
204,-83,-2,15,6328
205,-83,-2,15,6327
206,-83,-2,15,6326
207,-83,-2,15,6325
208,-83,-2,15,6324
209,-83,-2,15,6323
210,-83,-2,15,6322
211,-83,-2,15,6321
212,-83,-2,15,6320
213,-83,-2,15,6319
214,-83,-2,15,6318
215,-83,-2,15,6317
216,-83,-2,15,6316
217,-83,-2,15,6315
218,-83,-2,15,6314
219,-83,-2,15,6313
220,-83,-2,15,6312
221,-83,-2,15,6311
222,-83,-2,15,6310
223,-83,-2,15,6309
224,-83,-2,15,6308
225,-83,-2,15,6307
226,-83,-2,15,6306
227,-83,-2,15,6305
228,-83,-2,15,6304
229,-83,-2,15,6303
230,-83,-2,15,6302
231,-83,-2,15,6301
232,-83,-2,15,6300
233,-83,-2,15,6299
234,-83,-2,15,6298
235,-83,-2,15,6297
236,-83,-2,15,6296
237,-83,-2,15,6295
238,-83,-2,15,6294
239,-83,-2,15,6293
240,-83,-2,15,6292
241,-83,-2,15,6291
242,-83,-2,15,6290
243,-83,-2,15,6289
244,-83,-2,15,6288
245,-83,-2,15,6287
246,-83,-2,15,6286
247,-83,-2,15,6285
248,-83,-2,15,6284
249,-83,-2,15,6283
250,-83,-2,15,6282
251,-83,-2,15,6281
252,-83,-2,15,6280
253,-83,-2,15,6279
254,-83,-2,15,6278
255,-83,-2,15,6277
256,-83,-2,15,6276
257,-83,-2,15,6275
258,-83,-2,15,6274
259,-83,-2,15,6273
260,-83,-2,15,6272
261,-83,-2,15,6271
262,-83,-2,15,6270
263,-83,-2,15,6269
264,-83,-2,15,6268
265,-83,-2,15,6267
266,-83,-2,15,6266
267,-83,-2,15,6265
268,-83,-2,15,6264
269,-83,-2,15,6263
270,-83,-2,15,6262
271,-83,-2,15,6261
272,-83,-2,15,6260
273,-83,-2,15,6259
274,-83,-2,15,6258
275,-83,-2,15,6257
276,-83,-2,15,6256
277,-83,-2,15,6255
278,-83,-2,15,6254
279,-83,-2,15,6253
280,-83,-2,15,6252
281,-83,-2,15,6251
282,-83,-2,15,6250
283,-83,-2,15,6249
284,-83,-2,15,6248
285,-83,-2,15,6247
286,-83,-2,15,6246
287,-83,-2,15,6245
288,-83,-2,15,6244
289,-83,-2,15,6243
290,-83,-2,15,6242
291,-83,-2,15,6241
292,-83,-2,15,6240
293,-83,-2,15,6239
294,-83,-2,15,6238
295,-83,-2,15,6237
296,-83,-2,15,6236
297,-83,-2,15,6235
298,-83,-2,15,6234
299,-83,-2,15,6233
300,-83,-2,15,6232
301,-83,-2,15,6231
302,-83,-2,15,6230
303,-83,-2,15,6229
304,-83,-2,15,6228
305,-83,-2,15,6227
306,-83,-2,15,6226
307,-83,-2,15,6225
308,-83,-2,15,6224
309,-83,-2,15,6223
310,-83,-2,15,6222
311,-83,-2,15,6221
312,-83,-2,15,6220
313,-83,-2,15,6219
314,-83,-2,15,6218
315,-83,-2,15,6217
316,-83,-2,15,6216
317,-83,-2,15,6215
318,-83,-2,15,6214
319,-83,-2,15,6213
320,-83,-2,15,6212
321,-83,-2,15,6211
322,-83,-2,15,6210
323,-83,-2,15,6209
324,-83,-2,15,6208
325,-83,-2,15,6207
326,-83,-2,15,6206
327,-83,-2,15,6205
328,-83,-2,15,6204
329,-83,-2,15,6203
330,-83,-2,15,6202
