date_index	rsrp	rsrq	wbcqi	macStats_phr	dlCqiReport_sfnSn	macStats_totalBytesSdusDl	macStats_totalTbsUl	macStats_mcs1Ul	macStats_totalPduDl	macStats_totalBytesSdusUl	macStats_tbsDl	macStats_totalPrbUl	macStats_macSdusDl_sduLength	macStats_macSdusDl_lcid	macStats_prbUl	macStats_totalPduUl	macStats_mcs1Dl	macStats_mcs2Dl	macStats_prbDl	macStats_totalPrbDl	macStats_prbRetxDl	macStats_totalTbsDl	ulCqiReport_sfnSn	pdcpStats_pktRx	pdcpStats_pktRxW	pdcpStats_pktRxAiatW	pdcpStats_pktRxOo	pdcpStats_pktRxBytesW	pdcpStats_pktRxSn	pdcpStats_pktTxBytesW	pdcpStats_pktTxSn	pdcpStats_pktTxBytes	pdcpStats_pktRxAiat	pdcpStats_pktRxBytes	pdcpStats_pktTx	pdcpStats_pktTxW	pdcpStats_pktTxAiatW	pdcpStats_sfn	pdcpStats_pktTxAiat	rnti	quality
6532	-83	-2	15	40	12631	8376	859211	10	1534	2421619	7	40934	2	1	0	13573	28	0	3	4667	0	16150	12631	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246934	1223769	20457	0
6531	-83	-2	15	40	12551	8376	859022	10	1534	2421493	7	40925	2	1	0	13571	28	0	3	4667	0	16150	12551	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246884	1223769	20457	0
6530	-83	-2	15	40	12471	8376	858959	10	1534	2421367	7	40922	2	1	0	13569	28	0	3	4667	0	16150	12471	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246834	1223769	20457	0
6529	-83	-2	15	40	12311	8376	858707	10	1534	2421178	7	40910	2	1	0	13566	28	0	3	4667	0	16150	12311	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246734	1223769	20457	0
6528	-83	-2	15	40	12231	8374	858581	10	1533	2421052	7	40904	2	1	0	13564	28	0	3	4664	0	16143	12231	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246684	1223769	20457	0
6527	-83	-2	15	40	12151	8374	858455	10	1533	2420926	7	40898	2	1	0	13562	28	0	3	4664	0	16143	12151	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246634	1223769	20457	0
6526	-83	-2	15	40	12071	8374	858329	10	1533	2420800	7	40892	2	1	0	13560	28	0	3	4664	0	16143	12071	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246584	1223769	20457	0
6525	-83	-2	15	40	11991	8374	858203	10	1533	2420674	7	40886	2	1	0	13558	28	0	3	4664	0	16143	11991	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246534	1223769	20457	0
6524	-83	-2	15	40	11911	8374	858140	10	1533	2420548	7	40883	2	1	0	13556	28	0	3	4664	0	16143	11911	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246484	1223769	20457	0
6523	-83	-2	15	40	11831	8372	857951	10	1532	2420422	7	40874	2	1	0	13554	28	0	3	4661	0	16136	11831	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246434	1223769	20457	0
6522	-83	-2	15	40	11751	8372	857888	10	1532	2420296	7	40871	2	1	0	13552	28	0	3	4661	0	16136	11751	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246384	1223769	20457	0
6521	-83	-2	15	40	11671	8372	857762	10	1532	2420233	7	40865	2	1	0	13551	28	0	3	4661	0	16136	11671	1063	0	0	0	0	151	0	13	25609	1226166	64624	71	0	0	1246334	1223769	20457	0
